rgn_id,taxa_code,year,tonnes
1,Penaeus shrimps nei_226,1983,2
1,Penaeus shrimps nei_226,1984,2
1,Penaeus shrimps nei_226,1985,3
1,Penaeus shrimps nei_226,1986,5
1,Penaeus shrimps nei_226,1987,4
1,Penaeus shrimps nei_226,1988,3
1,Penaeus shrimps nei_226,1989,50
1,Penaeus shrimps nei_226,1990,227
1,Penaeus shrimps nei_226,1991,169
1,Penaeus shrimps nei_226,1992,119
1,Penaeus shrimps nei_226,1993,106
1,Penaeus shrimps nei_226,1994,97
1,Penaeus shrimps nei_226,1995,1
1,Penaeus shrimps nei_226,1996,2
1,Penaeus shrimps nei_226,1997,2
1,Penaeus shrimps nei_226,1998,1
1,Penaeus shrimps nei_226,1999,0
1,Penaeus shrimps nei_226,2000,0
1,Penaeus shrimps nei_226,2001,0
1,Penaeus shrimps nei_226,2002,0.1
1,Penaeus shrimps nei_226,2003,0.1
1,Penaeus shrimps nei_226,2004,0
1,Penaeus shrimps nei_226,2005,0
1,Penaeus shrimps nei_226,2006,0
1,Penaeus shrimps nei_226,2007,0
1,Penaeus shrimps nei_226,2008,0
1,Penaeus shrimps nei_226,2009,0
1,Penaeus shrimps nei_226,2010,0
1,Penaeus shrimps nei_226,2011,0
1,Penaeus shrimps nei_226,2012,0
1,Penaeus shrimps nei_226,2013,0
1,Penaeus shrimps nei_226,2014,0
1,Penaeus shrimps nei_226,2015,0
2,Penaeus shrimps nei_226,1983,2
2,Penaeus shrimps nei_226,1984,2
2,Penaeus shrimps nei_226,1985,3
2,Penaeus shrimps nei_226,1986,5
2,Penaeus shrimps nei_226,1987,4
2,Penaeus shrimps nei_226,1988,3
2,Penaeus shrimps nei_226,1989,50
2,Penaeus shrimps nei_226,1990,227
2,Penaeus shrimps nei_226,1991,169
2,Penaeus shrimps nei_226,1992,119
2,Penaeus shrimps nei_226,1993,106
2,Penaeus shrimps nei_226,1994,97
2,Penaeus shrimps nei_226,1995,1
2,Penaeus shrimps nei_226,1996,2
2,Penaeus shrimps nei_226,1997,2
2,Penaeus shrimps nei_226,1998,1
2,Penaeus shrimps nei_226,1999,0
2,Penaeus shrimps nei_226,2000,0
2,Penaeus shrimps nei_226,2001,0
2,Penaeus shrimps nei_226,2002,0.1
2,Penaeus shrimps nei_226,2003,0.1
2,Penaeus shrimps nei_226,2004,0
2,Penaeus shrimps nei_226,2005,0
2,Penaeus shrimps nei_226,2006,0
2,Penaeus shrimps nei_226,2007,0
2,Penaeus shrimps nei_226,2008,0
2,Penaeus shrimps nei_226,2009,0
2,Penaeus shrimps nei_226,2010,0
2,Penaeus shrimps nei_226,2011,0
2,Penaeus shrimps nei_226,2012,0
2,Penaeus shrimps nei_226,2013,0
2,Penaeus shrimps nei_226,2014,0
2,Penaeus shrimps nei_226,2015,0
3,Penaeus shrimps nei_226,1983,2
3,Penaeus shrimps nei_226,1984,2
3,Penaeus shrimps nei_226,1985,3
3,Penaeus shrimps nei_226,1986,5
3,Penaeus shrimps nei_226,1987,4
3,Penaeus shrimps nei_226,1988,3
3,Penaeus shrimps nei_226,1989,50
3,Penaeus shrimps nei_226,1990,227
3,Penaeus shrimps nei_226,1991,169
3,Penaeus shrimps nei_226,1992,119
3,Penaeus shrimps nei_226,1993,106
3,Penaeus shrimps nei_226,1994,97
3,Penaeus shrimps nei_226,1995,1
3,Penaeus shrimps nei_226,1996,2
3,Penaeus shrimps nei_226,1997,2
3,Penaeus shrimps nei_226,1998,1
3,Penaeus shrimps nei_226,1999,0
3,Penaeus shrimps nei_226,2000,0
3,Penaeus shrimps nei_226,2001,0
3,Penaeus shrimps nei_226,2002,0.1
3,Penaeus shrimps nei_226,2003,0.1
3,Penaeus shrimps nei_226,2004,0
3,Penaeus shrimps nei_226,2005,0
3,Penaeus shrimps nei_226,2006,0
3,Penaeus shrimps nei_226,2007,0
3,Penaeus shrimps nei_226,2008,0
3,Penaeus shrimps nei_226,2009,0
3,Penaeus shrimps nei_226,2010,0
3,Penaeus shrimps nei_226,2011,0
3,Penaeus shrimps nei_226,2012,0
3,Penaeus shrimps nei_226,2013,0
3,Penaeus shrimps nei_226,2014,0
3,Penaeus shrimps nei_226,2015,0
4,Penaeus shrimps nei_226,1983,2
4,Penaeus shrimps nei_226,1984,2
4,Penaeus shrimps nei_226,1985,3
4,Penaeus shrimps nei_226,1986,5
4,Penaeus shrimps nei_226,1987,4
4,Penaeus shrimps nei_226,1988,3
4,Penaeus shrimps nei_226,1989,50
4,Penaeus shrimps nei_226,1990,227
4,Penaeus shrimps nei_226,1991,169
4,Penaeus shrimps nei_226,1992,119
4,Penaeus shrimps nei_226,1993,106
4,Penaeus shrimps nei_226,1994,97
4,Penaeus shrimps nei_226,1995,1
4,Penaeus shrimps nei_226,1996,2
4,Penaeus shrimps nei_226,1997,2
4,Penaeus shrimps nei_226,1998,1
4,Penaeus shrimps nei_226,1999,0
4,Penaeus shrimps nei_226,2000,0
4,Penaeus shrimps nei_226,2001,0
4,Penaeus shrimps nei_226,2002,0.1
4,Penaeus shrimps nei_226,2003,0.1
4,Penaeus shrimps nei_226,2004,0
4,Penaeus shrimps nei_226,2005,0
4,Penaeus shrimps nei_226,2006,0
4,Penaeus shrimps nei_226,2007,0
4,Penaeus shrimps nei_226,2008,0
4,Penaeus shrimps nei_226,2009,0
4,Penaeus shrimps nei_226,2010,0
4,Penaeus shrimps nei_226,2011,0
4,Penaeus shrimps nei_226,2012,0
4,Penaeus shrimps nei_226,2013,0
4,Penaeus shrimps nei_226,2014,0
4,Penaeus shrimps nei_226,2015,0
5,Penaeus shrimps nei_226,1983,2
5,Penaeus shrimps nei_226,1984,2
5,Penaeus shrimps nei_226,1985,3
5,Penaeus shrimps nei_226,1986,5
5,Penaeus shrimps nei_226,1987,4
5,Penaeus shrimps nei_226,1988,3
5,Penaeus shrimps nei_226,1989,50
5,Penaeus shrimps nei_226,1990,227
5,Penaeus shrimps nei_226,1991,169
5,Penaeus shrimps nei_226,1992,119
5,Penaeus shrimps nei_226,1993,106
5,Penaeus shrimps nei_226,1994,97
5,Penaeus shrimps nei_226,1995,1
5,Penaeus shrimps nei_226,1996,2
5,Penaeus shrimps nei_226,1997,2
5,Penaeus shrimps nei_226,1998,1
5,Penaeus shrimps nei_226,1999,0
5,Penaeus shrimps nei_226,2000,0
5,Penaeus shrimps nei_226,2001,0
5,Penaeus shrimps nei_226,2002,0.1
5,Penaeus shrimps nei_226,2003,0.1
5,Penaeus shrimps nei_226,2004,0
5,Penaeus shrimps nei_226,2005,0
5,Penaeus shrimps nei_226,2006,0
5,Penaeus shrimps nei_226,2007,0
5,Penaeus shrimps nei_226,2008,0
5,Penaeus shrimps nei_226,2009,0
5,Penaeus shrimps nei_226,2010,0
5,Penaeus shrimps nei_226,2011,0
5,Penaeus shrimps nei_226,2012,0
5,Penaeus shrimps nei_226,2013,0
5,Penaeus shrimps nei_226,2014,0
5,Penaeus shrimps nei_226,2015,0
6,Penaeus shrimps nei_226,1983,2
6,Penaeus shrimps nei_226,1984,2
6,Penaeus shrimps nei_226,1985,3
6,Penaeus shrimps nei_226,1986,5
6,Penaeus shrimps nei_226,1987,4
6,Penaeus shrimps nei_226,1988,3
6,Penaeus shrimps nei_226,1989,50
6,Penaeus shrimps nei_226,1990,227
6,Penaeus shrimps nei_226,1991,169
6,Penaeus shrimps nei_226,1992,119
6,Penaeus shrimps nei_226,1993,106
6,Penaeus shrimps nei_226,1994,97
6,Penaeus shrimps nei_226,1995,1
6,Penaeus shrimps nei_226,1996,2
6,Penaeus shrimps nei_226,1997,2
6,Penaeus shrimps nei_226,1998,1
6,Penaeus shrimps nei_226,1999,0
6,Penaeus shrimps nei_226,2000,0
6,Penaeus shrimps nei_226,2001,0
6,Penaeus shrimps nei_226,2002,0.1
6,Penaeus shrimps nei_226,2003,0.1
6,Penaeus shrimps nei_226,2004,0
6,Penaeus shrimps nei_226,2005,0
6,Penaeus shrimps nei_226,2006,0
6,Penaeus shrimps nei_226,2007,0
6,Penaeus shrimps nei_226,2008,0
6,Penaeus shrimps nei_226,2009,0
6,Penaeus shrimps nei_226,2010,0
6,Penaeus shrimps nei_226,2011,0
6,Penaeus shrimps nei_226,2012,0
6,Penaeus shrimps nei_226,2013,0
6,Penaeus shrimps nei_226,2014,0
6,Penaeus shrimps nei_226,2015,0
